2025-08-28 |   41 | ########
2025-09-07 |   19 | ###
2025-09-08 |    1 | 
2025-09-09 |   91 | #################
2025-09-10 |   22 | ####
2025-09-11 |   35 | ######
2025-09-12 |   38 | #######
2025-09-13 |   49 | #########
2025-09-15 |   82 | ################
2025-09-16 |    1 | 
2025-09-17 |    5 | 
2025-09-18 |    8 | #
2025-09-22 |    9 | #
2025-09-23 |   45 | ########
2025-09-24 |   55 | ##########
2025-09-25 |  307 | ############################################################
2025-09-26 |   84 | ################
2025-09-27 |   36 | #######
2025-09-29 |   45 | ########
2025-09-30 |   84 | ################
2025-10-01 |   72 | ##############
2025-10-02 |   41 | ########
2025-10-03 |   37 | #######
2025-10-06 |   13 | ##
2025-10-07 |   14 | ##
2025-10-08 |   31 | ######
2025-10-09 |   41 | ########
2025-10-10 |   48 | #########
2025-10-11 |   34 | ######
2025-10-13 |   24 | ####
2025-10-14 |   62 | ############
2025-10-15 |   97 | ##################
2025-10-16 |  100 | ###################
2025-10-17 |  145 | ############################
2025-10-20 |   67 | #############
2025-10-21 |   65 | ############
2025-10-22 |   13 | ##
2025-10-23 |   63 | ############
2025-10-24 |   61 | ###########
2025-10-25 |    3 | 
2025-10-26 |   46 | ########
2025-10-27 |   44 | ########
2025-10-28 |   20 | ###
2025-10-29 |   76 | ##############
2025-10-30 |    6 | #
2025-10-31 |  101 | ###################
2025-11-01 |   10 | #
2025-11-02 |   85 | ################
2025-11-03 |   41 | ########
2025-11-04 |   96 | ##################
2025-11-05 |   34 | ######
2025-11-06 |   74 | ##############
2025-11-10 |   32 | ######
2025-11-11 |   81 | ###############
2025-11-12 |   59 | ###########
2025-11-13 |   57 | ###########
2025-11-14 |  165 | ################################
2025-11-16 |    6 | #
2025-11-17 |   15 | ##
2025-11-18 |    9 | #
2025-11-19 |   13 | ##
2025-11-20 |  160 | ###############################
2025-11-21 |   36 | #######
2025-11-23 |   58 | ###########
2025-11-24 |   17 | ###
2025-11-25 |   31 | ######
2025-11-26 |   21 | ####
2025-11-27 |  127 | ########################
2025-11-28 |   32 | ######
2025-11-29 |   31 | ######
2025-11-30 |   66 | ############
2025-12-01 |   75 | ##############
2025-12-02 |   95 | ##################
2025-12-03 |   63 | ############
2025-12-04 |   60 | ###########
2025-12-05 |    6 | #
2025-12-13 |   30 | #####
2025-12-14 |   28 | #####
2025-12-15 |   77 | ###############
2025-12-16 |   84 | ################
2025-12-18 |   83 | ################
2025-12-21 |    3 | 
2025-12-22 |  125 | ########################
2025-12-23 |   33 | ######
2025-12-26 |   16 | ###
2025-12-27 |   67 | #############
2025-12-29 |   77 | ###############
2025-12-30 |   55 | ##########
